Question,Answer
What is Ovora Labs?,"Ovora Labs supplies research-grade peptides and laboratory materials for in-vitro research and educational use only. We are headquartered in the United States. Support: support@ovoralabs.com. Hours: Monday–Friday, 9am–6pm Eastern Time."
Are your products for human use?,"No. All Ovora Labs products are sold strictly for laboratory and research use only — not for human consumption, veterinary use, food use, or diagnostic procedures."
Can I use these peptides on myself?,"No. Ovora Labs products are research-use-only materials. We do not provide medical advice, dosing guidance for humans, or recommendations for personal use. Please review our Research Use and Disclaimer pages."
"Can I use these for bodybuilding, weight loss, or tanning?","No. Our products are intended strictly for laboratory and in-vitro research. We do not support or advise personal, medical, veterinary, or cosmetic use."
Do you provide medical advice or dosing instructions?,"No. Ovora Labs does not provide medical advice, treatment recommendations, or human dosing instructions. Information on our site is for research and educational context only."
Do you provide Certificates of Analysis (COA)?,"Yes. Every batch ships with a Certificate of Analysis documenting purity and identity testing, including HPLC purity (99%+) and mass spectrometry identity confirmation."
What purity do you guarantee?,We guarantee 99%+ purity on every peptide we sell. Batches that do not meet our standards do not ship. Testing is performed by independent ISO 17025 accredited laboratories.
How do I verify my COA?,"Match the batch or lot number on your vial to the COA included with your order. If you need a replacement copy, email support@ovoralabs.com with your order number and batch ID."
What is included on a Certificate of Analysis?,"Each COA typically includes batch/lot number, HPLC purity results (99%+), mass spectrometry identity confirmation, and appearance or related quality notes."
Where are you based?,"Ovora Labs is headquartered in the United States. Sourcing, QC, support, and shipping are handled from our US operations."
How do I contact support?,"Email support@ovoralabs.com. Hours: Monday–Friday, 9am–6pm Eastern Time. You can also use this chat for product, shipping, and documentation questions."
How fast do you ship?,Orders are typically processed within 0–2 business days after payment confirmation. Standard and expedited shipping are available. Overnight delivery is available on eligible orders. Tracking is provided on all orders.
Do you offer free shipping?,Yes. Free shipping applies on orders over $150.
Is packaging discreet?,Yes. All shipments use discreet packaging. Temperature-sensitive materials are packed with appropriate insulation when required.
What if my order arrives damaged?,Free shipment protection is included on every order. Damaged products are replaced at no cost with photo evidence. Contact support@ovoralabs.com with photos and your order number.
What is your return and refund policy?,"Damaged products are replaced under free shipment protection. Because products are research materials, opened vials are generally not eligible for return unless a quality defect is confirmed. Unopened, intact orders may be reviewed case-by-case within 14 days of delivery. Contact support@ovoralabs.com."
What if I have a quality concern about a product?,"If a product appears to deviate from its Certificate of Analysis, contact support@ovoralabs.com immediately with your order number and batch ID. We will investigate and resolve verified quality issues."
What products do you sell?,"We sell research peptides (injectable vials), nasal spray research formulations (MT-2 Spray, Selank Spray, Semax Spray), and bacteriostatic water (BAC Water). Browse the full catalog on the Store page."
